controller,k,t,reference,y,u,predicted_y0,stage_qp_cost,solve_time_sec,qp_status
resdynet_ltv,1,0.02,0.6,0.003945883724645941,2.0,0.0039524274163234285,32.41119568171968,0.03705354098929092,optimal
resdynet_ltv,2,0.04,0.6,0.015561078810889858,2.0,0.015531240919283087,27.677679912584097,0.03688133301329799,optimal
resdynet_ltv,3,0.06,0.6,0.034499338606407706,2.0,0.03453016872651077,23.116402024349643,0.037056791014038026,optimal
resdynet_ltv,4,0.08,0.6,0.060399288406718474,2.0,0.06039674015745593,18.84880375899451,0.03807700000470504,optimal
resdynet_ltv,5,0.1,0.6,0.09288643513282971,2.0,0.09287479406268144,14.954534674740367,0.04055624999455176,optimal
resdynet_ltv,6,0.12,0.6,0.1315751496290345,2.0,0.13152263356765215,11.504592887227387,0.04948033401160501,optimal
resdynet_ltv,7,0.14,0.6,0.17607061488432862,1.6948905915714931,0.17605735970274303,8.541480833561724,0.037568708998151124,optimal
resdynet_ltv,8,0.16,0.6,0.22536877075258532,1.2378816825377927,0.22536899113496967,6.1020511141206315,0.03739708400098607,optimal
resdynet_ltv,9,0.18,0.6,0.2775924233644136,0.7453812925746366,0.27758461821443065,4.179255033058215,0.037221542006591335,optimal
resdynet_ltv,10,0.2,0.6,0.3305607757588526,0.289780037810706,0.3305896093303776,2.749656056720596,0.036650249996455386,optimal
resdynet_ltv,11,0.22,0.6,0.38217932698079427,-0.08814133707152445,0.3822093725050336,1.756110298291906,0.0365929999970831,optimal
resdynet_ltv,12,0.24,0.6,0.430666086911256,-0.37021771746921384,0.43068364949315296,1.1135720362122385,0.03921112502575852,optimal
resdynet_ltv,13,0.26,0.6,0.47466153846778647,-0.5537908151035641,0.4747099684150474,0.7306827610053936,0.05436045801616274,optimal
resdynet_ltv,14,0.28,0.6,0.5132580097938497,-0.6456190041446103,0.5132994383780797,0.524530397484234,0.038696832983987406,optimal
resdynet_ltv,15,0.3,0.6,0.545977356296208,-0.6586142170758806,0.5459621402691269,0.4277616884814997,0.04010874999221414,optimal
resdynet_ltv,16,0.32,0.6,0.5727173611018981,-0.6085658046931206,0.572710684143818,0.3914023635814779,0.037419875006889924,optimal
resdynet_ltv,17,0.34,0.6,0.5936811068689574,-0.5117265400203336,0.5936871547615828,0.3833468947311927,0.03694295900641009,optimal
resdynet_ltv,18,0.36,0.6,0.6093014041860345,-0.3835685490346617,0.6092896554351357,0.38469365353782015,0.03679020900744945,optimal
resdynet_ltv,19,0.38,0.6,0.6201679206783541,-0.23793249902678745,0.6201591030201979,0.38634743739351607,0.0367956249974668,optimal
resdynet_ltv,20,0.4,0.6,0.6269612911246486,-0.08652159281667324,0.6269766434491106,0.38494820342054453,0.03709904200513847,optimal
resdynet_ltv,21,0.42,0.6,0.6303968478139224,0.06163507758038476,0.6304079908619235,0.3799606865290419,0.039410958997905254,optimal
resdynet_ltv,22,0.44,0.6,0.6311798583577728,0.19969550829912705,0.6311914837857544,0.3726097672233942,0.0489322500070557,optimal
resdynet_ltv,23,0.46,0.6,0.6299720790807125,0.32301242081106973,0.6299863769713897,0.364140937049926,0.0369622080179397,optimal
resdynet_ltv,24,0.48,0.6,0.6273683783290672,0.4288587763210316,0.6273859645470714,0.35550511349403396,0.03664087498327717,optimal
resdynet_ltv,25,0.5,0.6,0.6238825998060569,0.5161381200466308,0.6238991335332122,0.34722883032775453,0.03677116698236205,optimal
resdynet_ltv,26,0.52,0.6,0.6199412531941294,0.5850275153993989,0.6199492765137443,0.33949450330941267,0.03712575000827201,optimal
resdynet_ltv,27,0.54,0.6,0.6158834815093965,0.6366032438765336,0.6158799269571864,0.33226314294679127,0.037383707996923476,optimal
resdynet_ltv,28,0.56,0.6,0.6119656255912118,0.672561864908344,0.611953554384193,0.3254013066745146,0.03800291699008085,optimal
resdynet_ltv,29,0.58,0.6,0.6083689085560605,0.6950058793337824,0.6083537160432403,0.31879023459814887,0.04074337499332614,optimal
resdynet_ltv,30,0.6,0.6,0.6052091218428196,0.706241969678995,0.6051944731939768,0.31237752063969243,0.038713374990038574,optimal
resdynet_ltv,31,0.62,0.6,0.6025473810668631,0.7085989109477115,0.6025347461487629,0.3061867703667354,0.05566233300487511,optimal
resdynet_ltv,32,0.64,0.6,0.6004011155362111,0.7042837469371526,0.600390232921624,0.30030021411762875,0.03733041699160822,optimal
resdynet_ltv,33,0.66,0.6,0.5987546009431646,0.6952885496209601,0.5987449684520187,0.29483006177230453,0.03746991601656191,optimal
resdynet_ltv,34,0.68,0.6,0.5975685479029302,0.6833385332415761,0.5975594076101489,0.28989121370603166,0.03748866598471068,optimal
resdynet_ltv,35,0.7000000000000001,0.6,0.5967884618859325,0.6698673638487693,0.5967794767639181,0.28557868619042764,0.03729133299202658,optimal
resdynet_ltv,36,0.72,0.6,0.5963516402246039,0.6560166454347506,0.5963425343988862,0.28195109738258445,0.038008582982001826,optimal
resdynet_ltv,37,0.74,0.6,0.5961927831278139,0.6426494055867602,0.5961836422920049,0.2790282377059527,0.0531190829933621,optimal
resdynet_ltv,38,0.76,0.6,0.5962482766607196,0.6303775461609914,0.5962390225469304,0.2767899893426571,0.03770516600343399,optimal
resdynet_ltv,39,0.78,0.6,0.5964592633873622,0.6195925424219756,0.5964501872744126,0.2751845273015698,0.036829874996328726,optimal
resdynet_ltv,40,0.8,0.6,0.5967736501850769,0.6105006454152797,0.5967649641320126,0.2741374368907605,0.03668641598778777,optimal
resdynet_ltv,41,0.8200000000000001,0.6,0.5971472162522236,0.6031624201238165,0.5971389995335666,0.27355998030808243,0.03665754199028015,optimal
